customer_id,customer_name,email,created_at,state_code,acquisition_channel,income_bracket,birth_date,engagement_score
C0, Maria Rocha,maria_rocha@gmail.com,2023-02-15,São Paulo,email,20k+,1990-07-27,40
C1,Rodrigo Valentte ,rodrigo_valente@gmail.com,2023-08-31,Brasil,organic,0-2k,1992-05-11,47
C2,joao   fonseca,joão_fonseca@gmail.com,2023-09-12,Espirito Santo,referral,20k+,1998-12-14,42
C3,maria mendes,maria_mendes@gmail.com,2023-02-09,,direct,5k-10k,1991-10-18,36
C4, Fernanda Goncalves,fernanda_gonçalves@gmail.com,2023-07-11,rj,paid_search,0-2k,2001-05-28,23
C5,Eduarda Duart,eduarda_duarte@gmail.com,2023-02-23,Estado de SP,email,0-2k,1987-06-18,88
C6, CAMILA Gonçalvez,camila_gonçalves@gmail.com,2023-07-27,S.P.,social_media,5k-10k,2004-03-16,22
C7, Matheus assis,matheus_assis@gmail.com,2023-08-02,Paraná,social_media,20k+,1981-11-18,66
C8,Jõao  Santo,joão_santos@gmail.com,2023-03-30,Estado de SP,organic,5k-10k,1992-03-14,65
C9,Rodrigo	pacheco,rodrigo_pacheco@gmail.com,2023-05-04,Parana,referral,10k-20k,1970-02-16,53
C10,BEATRIZ   Carvalho,beatriz_carvalho@gmail.com,2023-09-08,Espírito Santo,paid_search,2k-5k,1987-05-23,87
C11,ANA figueiredo,ana_figueiredo@gmail.com,2023-07-20,Paraná,organic,0-2k,1971-03-02,84
C12,AMANDA	Duart,amanda_duarte@gmail.com,2023-10-18,SP,referral,10k-20k,1974-02-05,87
C13,CAMILA   Correa,camila_correia@gmail.com,2023-02-10,Goiás,social_media,0-2k,1984-05-10,41
C14, RODRIGO Peixoto ,rodrigo_peixoto@gmail.com,2023-03-15,S.P.,social_media,20k+,1993-04-24,4
C15, Matheus Peixoto ,matheus_peixoto@gmail.com,2023-04-04,R.J.,email,5k-10k,1977-03-15,78
C16,Camila   Lacerdda,camila_lacerda@gmail.com,2023-03-21,S.P.,direct,20k+,1989-01-30,21
C17, Eduarda Aguiar,eduarda_aguiar@gmail.com,2023-03-01,S.P.,paid_search,5k-10k,2004-02-12,33
C18,gustav0	pinto,gustavo_pinto@gmail.com,2023-12-11,Goiás,organic,0-2k,1984-12-07,99
C19,gustav0 Dias,gustavo_dias@gmail.com,2023-08-14,Parana,referral,0-2k,1979-01-13,41
C20,MARIA  Carvaho,maria_carvalho@gmail.com,2023-12-13,sp,organic,2k-5k,1974-01-18,92
C21, Carlos Cardozo,carlos_cardoso@gmail.com,2023-12-09,,organic,5k-10k,2001-08-16,97
C22,Maria	Oliveira,maria_oliveira@gmail.com,2023-03-23,Espirito Santo,paid_search,20k+,1980-12-15,86
C23,Rafael Aguiar  ,rafael_aguiar@gmail.com,2023-02-08,Brasil,organic,20k+,1988-02-15,72
C24,Fernanda  Lacerda,fernanda_lacerda@gmail.com,2023-04-11,R.J.,paid_search,20k+,1994-06-10,56
C25,lucas Valente,lucas_valente@gmail.com,2023-08-21,sp,organic,10k-20k,1991-08-15,57
C26,LUCAS   Gonçalves,lucas_gonçalves@gmail.com,2023-07-03,PR,paid_search,5k-10k,1997-04-14,82
C27,Tiago  Dias,thiago_dias@gmail.com,2023-04-19,Sao Paulo,direct,20k+,1972-12-12,32
C28, maria Mendess,maria_mendes@gmail.com,2023-08-26,São Paulo,direct,10k-20k,1995-01-22,18
C29,RAFAEL   cunha,rafael_cunha@gmail.com,2023-10-24,XX,email,20k+,1975-03-15,88
C30,Rodrigo  Moura ,rodrigo_moura@gmail.com,2023-04-19,RJ,organic,2k-5k,1979-03-06,40
C31,EDUARDA	Godoi,eduarda_godoy@gmail.com,2023-11-17,DF,direct,10k-20k,2001-05-06,16
C32,Gabriela CARVALHO,gabriela_carvalho@gmail.com,2023-10-19,S.P.,paid_search,10k-20k,1980-04-28,27
C33,Rodrigo Pacheco ,rodrigo_pacheco@gmail.com,2023-02-02,SP,direct,0-2k,1992-08-08,68
C34,GABRIELA  Mendess,gabriela_mendes@gmail.com,2023-11-16,Espirito Santo,email,0-2k,1972-02-26,57
C35,Gabriela Neves,gabriela_neves@gmail.com,2023-03-28,Bahia,social_media,0-2k,1982-09-27,40
C36,Vinicius SOUZA ,vinícius_souza@gmail.com,2023-10-28,Rio,organic,0-2k,1990-10-18,14
C37,AMANDA  andrade,amanda_andrade@gmail.com,2023-07-22,sp,paid_search,0-2k,1983-03-05,89
C38,Fernanda	Nuness,fernanda_nunes@gmail.com,2023-08-14,sp,social_media,10k-20k,2000-05-09,51
